"LURN_SAK","INCIDENT_DATE","INCIDENT_REPORTED_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","GANG_RELATED","UNIT_ID","UNIT_NAME","LONGITUDE","LATITUDE","PART_CATEGORY"
19977437,"07/26/2022 03:50:00 PM","07/26/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","2000 MARENGO ST, LOS ANGELES, CA 90033","2000 MARENGO ST","LOS ANGELES","90033","922-00992-8547","8547","00992","NO","CA01900F4","COUNTY SERVICES BUR",-118.206,34.056,2
19995372,"08/14/2022 04:00:00 PM","08/14/2022","MISDEMEANORS MISCELLANEOUS","399","MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors","300 SUNSET AVE, LA PUENTE, CA 91744","300 SUNSET AVE","LA PUENTE","91744","922-08988-1431","1431","08988","NO","CA0190014","INDUSTRY",-117.971,34.037,2
19989554,"08/06/2022 02:30:00 PM","08/08/2022","VANDALISM","263","VANDALISM FELONY","300 W TEMPLE ST, LOS ANGELES, CA 90012","300 W TEMPLE ST","LOS ANGELES","90012","922-01045-8515","8515","01045","NO","CA01900F4","COUNTY SERVICES BUR",-118.244,34.055,2
19973993,"07/01/2022 07:59:00 PM","07/22/2022","GRAND THEFT AUTO","093","GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van","1900 E VIA ARADO ST, RANCHO DOMINGUEZ, CA","1900 E VIA ARADO ST","RANCHO DOMINGUEZ",,"922-07355-1692","1692","07355","NO","CA0190016","CARSON",-118.233,33.848,1
19996004,"08/15/2022 02:25:00 AM","08/15/2022","GRAND THEFT AUTO","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","39300 RIVERBEND ST, PALMDALE, CA","39300 RIVERBEND ST","PALMDALE",,"922-10764-2612","2612","10764","NO","CA01900W9","PALMDALE",-118.167,34.597,1
19994847,"08/13/2022 04:30:00 PM","08/13/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","4900 SLAUSON AVE, LOS ANGELES, CA 90056","4900 SLAUSON AVE","LOS ANGELES","90056","922-01818-2765","2765","01818","NO","CA0190065","MARINA DEL REY",-118.363,33.988,2
19986634,"08/03/2022 06:30:00 PM","08/05/2022","VANDALISM","262","VANDALISM: Vandalism Jail","14400 ERWIN ST. MALL, VAN NUYS, CA","14400 ERWIN ST. MALL","VAN NUYS",,"922-00326-4481","4481","00326","NO","CA01900V4","WEST",-118.446,34.183,2
19995711,"08/15/2022 05:00:00 AM","08/15/2022","LARCENY THEFT","085","GRAND THEFT: Auto Parts And Accessories","11400 ROSEHEDGE DR, WHITTIER, CA 90606","11400 ROSEHEDGE DR","WHITTIER","90606","922-04983-1575","1575","04983","NO","CA0190015","PICO RIVERA",-118.062,33.978,1
19995633,"08/14/2022 09:00:00 PM","08/15/2022","FORCIBLE RAPE","021","RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","5400 CHARLOTTE AVE, SAN GABRIEL, CA 91776","5400 CHARLOTTE AVE","SAN GABRIEL","91776","022-09255-0587","0587","09255","NO","CA0190005","TEMPLE",-118.088,34.098,1
19988663,"08/07/2022 11:11:30 AM","08/07/2022","VANDALISM","263","VANDALISM FELONY","300 N MARIANNA AVE, LOS ANGELES, CA 90022","300 N MARIANNA AVE","LOS ANGELES","90022","922-11687-0280","0280","11687","NO","CA0190002","EAST LOS ANGELES",-118.175,34.039,2
19996128,"08/15/2022 12:22:00 PM","08/15/2022","ARSON","279","ARSON: All Others","100 E ARTESIA BLVD, COMPTON, CA 90220","100 E ARTESIA BLVD","COMPTON","90220","022-10731-2842","2842","10731","NO","CA0190042","COMPTON",-118.22,33.875,1
19984885,"08/03/2022 03:57:43 PM","08/03/2022","NON-AGGRAVATED ASSAULTS","145","ASSAULT, NON-AGG: Obstruct/Resist/Battery Peace Officer","400 BAUCHET ST, LOS ANGELES, CA 90012","400 BAUCHET ST","LOS ANGELES","90012","922-01661-5120","5120","01661","NO","CA0190026","INMATE RECEPTION CENTR",-118.231,34.059,2
19985156,"08/03/2022 07:16:00 PM","08/03/2022","AGGRAVATED ASSAULT","057","ASSAULT, AGGRAVATED: ADW, PEACE OFFICER - OTHER DANGEROUS WEAPON","400 BAUCHET ST, LOS ANGELES, CA 90012","400 BAUCHET ST","LOS ANGELES","90012","022-01663-5120","5120","01663","NO","CA0190026","INMATE RECEPTION CENTR",-118.231,34.059,1
19976825,"07/26/2022 12:30:00 AM","07/26/2022","BURGLARY","077","BURGLARY, OTHER STRUCTURE: Unknown, Entry By Force","8900 BEVERLY BLVD, PICO RIVERA, CA 90660","8900 BEVERLY BLVD","PICO RIVERA","90660","922-04489-1510","1510","04489","NO","CA0190015","PICO RIVERA",-118.082,34.01,1
19995323,"08/14/2022 12:00:00 AM","08/14/2022","LARCENY THEFT","085","GRAND THEFT: Auto Parts And Accessories","7800 HERSHEY ST, ROSEMEAD, CA 91770","7800 HERSHEY ST","ROSEMEAD","91770","922-09241-0532","0532","09241","NO","CA0190005","TEMPLE",-118.098,34.069,1
19990707,"08/09/2022 10:42:00 AM","08/09/2022","MISDEMEANORS MISCELLANEOUS","391","MISDEMEANORS, MISCELLANEOUS: Trespassing","ARTESIA BLVD AND SAN GABRIEL RIV, CERRITOS, CA 90703","ARTESIA BLVD AND SAN GABRIEL RIV","CERRITOS","90703","922-03212-2310","2310","03212","NO","CA01900R7","CERRITOS",-118.102,33.876,2
19995908,"08/15/2022 09:10:00 AM","08/15/2022","NARCOTICS","186","Found Narcotics","11700 S ALAMEDA ST, LYNWOOD, CA 90262","11700 S ALAMEDA ST","LYNWOOD","90262","922-01592-5700","5700","01592","NO","CA0190053","CRDF",-118.226,33.927,2
19972680,"07/21/2022 04:45:00 AM","07/21/2022","BURGLARY","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","900 W AVENUE J, LANCASTER, CA","900 W AVENUE J","LANCASTER",,"922-12557-1127","1127","12557","NO","CA0190024","LANCASTER",-118.145,34.689,1
19972686,"07/21/2022 12:20:00 AM","07/21/2022","BURGLARY","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","900 W AVENUE J, LANCASTER, CA","900 W AVENUE J","LANCASTER",,"922-12558-1127","1127","12558","NO","CA0190024","LANCASTER",-118.145,34.689,1
19973130,"03/19/2021 05:04:34 PM","07/21/2022","FRAUD AND NSF CHECKS","113","FRAUD: Fraud By Trick Or Device - Over $400",", CHICAGO, IL",,"CHICAGO",,"922-00063-3346","3346","00063","NO","CA0190023","FRAUD & CYBER CRIMES BUREAU",,,2
